,name,category,average_listing_price,total_items,sell_seven_days,sell_fourteen,sell_30,sell_3months,sell_6months,sell-9months,sell_12months
166,Burberry,Rain Boots,$178.87,117,28.20%,35.00%,56.40%,87.20%,92.30%,92.30%,92.30%
167,Burberry,Short Sleeve T-Shirt,$103.15,117,23.90%,31.60%,58.10%,70.10%,83.80%,84.60%,84.60%
168,Burberry,Long Sleeve Button-Down Shirt,$119.82,117,28.20%,39.30%,60.70%,85.50%,89.70%,89.70%,89.70%
169,Alexander Wang,Cocktail Dress,$181.22,116,5.20%,12.90%,19.00%,52.60%,69.80%,72.40%,72.40%
170,Marc Jacobs,Casual Dress,$155.39,116,5.20%,9.50%,20.70%,59.50%,73.30%,75.90%,75.90%
171,Burberry,Flats,$167.96,115,19.10%,35.70%,55.70%,80.00%,90.40%,90.40%,90.40%
172,Kenzo,Sweatshirt,$115.30,115,19.10%,27.00%,47.00%,79.10%,91.30%,93.00%,93.00%
173,Lanvin,Flats,$127.71,115,4.30%,12.20%,30.40%,64.30%,76.50%,80.00%,80.00%
174,Prada Linea Rossa,Wedges,$130.71,115,25.20%,38.30%,60.00%,83.50%,90.40%,90.40%,90.40%
175,Burberry,Dress,$109.49,114,14.00%,26.30%,47.40%,81.60%,86.80%,86.80%,86.80%
176,Love Moschino,Casual Dress,$107.73,114,8.80%,13.20%,28.10%,55.30%,71.90%,77.20%,78.10%
177,Longchamp,Leather Shoulder Bag,$169.76,112,45.50%,62.50%,70.50%,89.30%,91.10%,91.10%,91.10%
178,Burberry,Wool Skirt,$206.58,112,27.70%,37.50%,48.20%,69.60%,77.70%,78.60%,78.60%
179,Dooney & Bourke,Leather Crossbody Bag,$54.07,112,89.30%,91.10%,94.60%,95.50%,96.40%,96.40%,96.40%
180,Gucci,Leather Satchel,$517.82,112,18.80%,23.20%,37.50%,85.70%,92.00%,92.00%,92.00%
181,Gucci,Leather Crossbody Bag,$542.57,110,25.50%,40.00%,57.30%,81.80%,86.40%,86.40%,86.40%
182,Burberry Brit,Jeans,$89.27,110,22.70%,39.10%,64.50%,89.10%,94.50%,94.50%,94.50%
183,Coach,Leather Wristlet,$39.60,109,52.30%,66.10%,81.70%,89.90%,89.90%,89.90%,89.90%
184,Prada,Tote,$382.86,107,15.90%,23.40%,36.40%,81.30%,89.70%,89.70%,89.70%
185,Burberry,Heels,$182.56,107,12.10%,31.80%,43.90%,70.10%,78.50%,79.40%,79.40%
186,Coach,Leather Wallet,$52.60,107,51.40%,78.50%,94.40%,97.20%,97.20%,97.20%,97.20%
187,Chanel,Sandals,$387.11,106,24.50%,34.00%,45.30%,79.20%,87.70%,87.70%,87.70%
188,Marc Jacobs,Sunglasses,$73.97,106,41.50%,62.30%,75.50%,85.80%,89.60%,89.60%,89.60%
189,Kenzo,Short Sleeve T-Shirt,$60.05,106,20.80%,33.00%,56.60%,78.30%,86.80%,87.70%,87.70%
190,Tod's,Ankle Boots,$177.76,106,9.40%,18.90%,30.20%,62.30%,69.80%,70.80%,70.80%
191,Tory Burch,Crossbody Bag,$79.45,105,87.60%,89.50%,92.40%,96.20%,96.20%,96.20%,96.20%
192,Burberry,Casual Skirt,$209.30,105,20.00%,32.40%,47.60%,80.00%,84.80%,84.80%,84.80%
193,Burberry Brit,3/4 Sleeve T-Shirt,$70.71,105,40.00%,58.10%,75.20%,88.60%,89.50%,90.50%,90.50%
194,Michael Kors Collection,Cocktail Dress,$318.34,104,1.00%,3.80%,14.40%,48.10%,76.90%,76.90%,76.90%
195,Coach,Flats,$50.77,104,43.30%,70.20%,85.60%,92.30%,93.30%,93.30%,93.30%
196,Coach Factory,Leather Tote,$91.64,104,72.10%,84.60%,90.40%,94.20%,94.20%,94.20%,94.20%
197,Longchamp,Leather Satchel,$199.33,104,42.30%,56.70%,67.30%,91.30%,93.30%,93.30%,93.30%
198,Prada,Cocktail Dress,$308.94,103,16.50%,28.20%,35.90%,74.80%,84.50%,84.50%,84.50%
199,Burberry,Satchel,$323.72,103,29.10%,38.80%,53.40%,82.50%,91.30%,91.30%,91.30%
200,Bottega Veneta,Heels,$269.82,103,5.80%,9.70%,17.50%,57.30%,77.70%,77.70%,77.70%
201,Chloé,Ankle Boots,$280.19,103,10.70%,19.40%,29.10%,64.10%,73.80%,73.80%,73.80%
202,Jimmy Choo,Sneakers,$175.84,102,15.70%,27.50%,34.30%,65.70%,78.40%,78.40%,78.40%
203,Burberry,Shoulder Bag,$275.63,102,30.40%,38.20%,57.80%,90.20%,93.10%,93.10%,93.10%
204,Bottega Veneta,Leather Wallet,$235.53,102,6.90%,18.60%,29.40%,62.70%,82.40%,82.40%,82.40%
205,ETRO,Cocktail Dress,$281.02,101,8.90%,18.80%,31.70%,89.10%,98.00%,99.00%,99.00%
206,Hermès,Tote,$344.09,101,16.80%,24.80%,38.60%,75.20%,78.20%,78.20%,78.20%
207,Louis Vuitton,Leather Card Holder,$177.72,101,17.80%,27.70%,42.60%,78.20%,92.10%,92.10%,92.10%
208,Burberry Brit,Casual Dress,$142.00,101,21.80%,35.60%,58.40%,80.20%,92.10%,92.10%,92.10%
209,Christian Dior,Heels,$255.13,101,12.90%,22.80%,38.60%,70.30%,83.20%,83.20%,83.20%
210,Telfar,Tote,$161.21,100,36.00%,46.00%,58.00%,77.00%,86.00%,86.00%,86.00%
211,Prada Linea Rossa,Flats,$133.03,100,22.00%,34.00%,59.00%,77.00%,82.00%,82.00%,82.00%
212,Michael Kors,Casual Dress,$187.63,100,4.00%,7.00%,15.00%,51.00%,78.00%,81.00%,83.00%
213,Christian Dior,Scarf,$123.18,100,38.00%,55.00%,68.00%,81.00%,85.00%,85.00%,85.00%
214,Louis Vuitton,Leather Satchel,$830.37,100,15.00%,26.00%,43.00%,85.00%,87.00%,87.00%,87.00%
215,Max Mara,Wool Coat,$478.33,99,36.40%,44.40%,55.60%,86.90%,92.90%,93.90%,93.90%
216,Salvatore Ferragamo,Leather Satchel,$336.90,99,19.20%,26.30%,48.50%,80.80%,86.90%,86.90%,86.90%
217,Prada,Casual Dress,$288.08,99,16.20%,23.20%,37.40%,77.80%,87.90%,87.90%,87.90%
218,Chloé,Leather Crossbody Bag,$476.45,98,24.50%,37.80%,53.10%,83.70%,90.80%,90.80%,90.80%
219,Salvatore Ferragamo,Shoulder Bag,$246.40,98,13.30%,17.30%,30.60%,69.40%,79.60%,79.60%,79.60%
220,Michael Kors,Jeans,$54.16,98,21.40%,36.70%,52.00%,78.60%,83.70%,85.70%,86.70%
221,Kate Spade New York,Wallet,$33.85,97,40.20%,71.10%,85.60%,89.70%,90.70%,90.70%,90.70%
222,Tory Burch,Tote,$74.59,97,90.70%,92.80%,96.90%,96.90%,96.90%,96.90%,96.90%
223,Salvatore Ferragamo,Boots,$326.63,95,27.40%,37.90%,49.50%,71.60%,78.90%,78.90%,78.90%
224,Alexander Wang,Heels,$138.31,95,13.70%,20.00%,36.80%,67.40%,85.30%,86.30%,86.30%
225,Balenciaga,Sandals,$226.53,94,13.80%,23.40%,31.90%,62.80%,77.70%,77.70%,77.70%
226,Kate Spade New York,Heels,$60.84,93,24.70%,36.60%,62.40%,86.00%,92.50%,93.50%,93.50%
227,Alexander Wang,Casual Dress,$149.84,93,3.20%,5.40%,14.00%,47.30%,71.00%,76.30%,77.40%
228,Chloé,Casual Dress,$252.46,93,4.30%,6.50%,9.70%,72.00%,82.80%,83.90%,83.90%
229,Roberto Cavalli,Casual Dress,$260.07,92,12.00%,17.40%,25.00%,66.30%,77.20%,77.20%,77.20%
230,Coach,Wallet,$39.99,92,50.00%,73.90%,91.30%,93.50%,93.50%,93.50%,93.50%
231,Max Mara,Wool Pants,$127.60,92,21.70%,33.70%,54.30%,80.40%,93.50%,95.70%,95.70%
232,Burberry,Formal Skirt,$178.70,92,12.00%,19.60%,33.70%,64.10%,78.30%,82.60%,82.60%
233,Versace Jeans Couture,Jeans,$92.78,92,34.80%,54.30%,80.40%,91.30%,93.50%,93.50%,93.50%
234,Prada,Ankle Boots,$247.15,92,9.80%,18.50%,35.90%,63.00%,78.30%,79.30%,79.30%
235,Coach Factory,Satchel,$70.29,91,73.60%,86.80%,93.40%,94.50%,94.50%,94.50%,94.50%
236,Prada,Satchel,$394.36,91,16.50%,28.60%,37.40%,83.50%,86.80%,86.80%,86.80%
237,Gucci,Scarf,$239.58,91,35.20%,47.30%,62.60%,90.10%,93.40%,93.40%,93.40%
238,Stella McCartney,Sneakers,$166.13,90,20.00%,25.60%,42.20%,66.70%,76.70%,76.70%,76.70%
239,Coach,Satchel,$84.78,90,67.80%,84.40%,92.20%,95.60%,95.60%,95.60%,95.60%
240,Burberry,Sandals,$168.69,90,16.70%,23.30%,41.10%,66.70%,80.00%,80.00%,80.00%
241,Tiffany & Co.,Sunglasses,$142.43,89,55.10%,67.40%,84.30%,91.00%,91.00%,91.00%,91.00%
242,Kenzo,Casual Dress,$128.27,89,13.50%,19.10%,34.80%,65.20%,76.40%,76.40%,76.40%
243,Dooney & Bourke,Leather Satchel,$87.39,89,70.80%,82.00%,91.00%,95.50%,95.50%,95.50%,95.50%
244,Marc Jacobs,Backpack,$87.44,89,32.60%,55.10%,76.40%,87.60%,88.80%,88.80%,88.80%
245,Louis Vuitton,Messenger,$648.30,88,12.50%,17.00%,39.80%,61.40%,64.80%,64.80%,64.80%
246,Miu Miu,Flats,$224.01,88,13.60%,20.50%,36.40%,70.50%,85.20%,85.20%,85.20%
247,Chloé,Wedges,$175.15,88,8.00%,15.90%,33.00%,62.50%,80.70%,80.70%,80.70%
248,Tod's,Boots,$208.26,88,12.50%,18.20%,35.20%,71.60%,78.40%,78.40%,78.40%
249,Céline,Leather Wallet,$225.07,87,3.40%,9.20%,16.10%,52.90%,83.90%,83.90%,83.90%
250,Prada,Leather Shoulder Bag,$419.21,87,31.00%,37.90%,50.60%,79.30%,85.10%,85.10%,85.10%
251,Missoni,Scarf,$97.81,86,32.60%,48.80%,62.80%,88.40%,95.30%,95.30%,95.30%
252,D&G Dolce & Gabbana,Jeans,$119.94,86,44.20%,55.80%,72.10%,84.90%,88.40%,88.40%,88.40%
253,Tod's,Leather Shoulder Bag,$226.19,86,24.40%,37.20%,52.30%,87.20%,90.70%,90.70%,90.70%
254,Tod's,Sandals,$123.50,85,12.90%,25.90%,44.70%,78.80%,88.20%,89.40%,89.40%
255,Valentino Garavani,Flats,$244.54,85,3.50%,14.10%,25.90%,68.20%,76.50%,77.60%,77.60%
256,Max Mara,Dress Pants,$122.41,85,12.90%,22.40%,29.40%,64.70%,87.10%,89.40%,89.40%
257,Stella McCartney,Pullover Sweater,$109.37,84,16.70%,29.80%,63.10%,76.20%,83.30%,83.30%,83.30%
258,Dooney & Bourke,Leather Shoulder Bag,$77.60,84,59.50%,79.80%,90.50%,92.90%,92.90%,92.90%,92.90%
259,Saint Laurent,Sandals,$287.79,84,27.40%,34.50%,50.00%,76.20%,81.00%,81.00%,81.00%
260,Canada Goose,Coat,$420.47,83,66.30%,72.30%,81.90%,90.40%,91.60%,91.60%,91.60%
261,Fjällräven,Belt Bag,$30.14,83,94.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
262,Salvatore Ferragamo,Mule/Clog,$136.11,83,18.10%,24.10%,42.20%,77.10%,90.40%,90.40%,90.40%
263,Burberry,Cocktail Dress,$252.67,83,10.80%,21.70%,31.30%,67.50%,83.10%,83.10%,83.10%
264,Longchamp,Leather Tote,$194.94,83,53.00%,68.70%,77.10%,91.60%,95.20%,95.20%,95.20%
265,Christian Louboutin,Ankle Boots,$386.67,83,21.70%,36.10%,51.80%,78.30%,79.50%,79.50%,79.50%
266,Salvatore Ferragamo,Wedges,$125.52,82,14.60%,26.80%,41.50%,72.00%,86.60%,89.00%,89.00%
267,Tory Burch,Wedges,$66.73,82,40.20%,69.50%,82.90%,90.20%,92.70%,92.70%,92.70%
268,Fendi,Shoulder Bag,$528.85,82,19.50%,30.50%,50.00%,82.90%,87.80%,87.80%,87.80%
269,Coach,Heels,$56.13,82,32.90%,45.10%,74.40%,87.80%,89.00%,89.00%,89.00%
270,Louis Vuitton,Coin Purse,$219.46,82,29.30%,42.70%,62.20%,93.90%,93.90%,93.90%,93.90%
271,Marc by Marc Jacobs,Casual Skirt,$63.40,82,13.40%,24.40%,43.90%,68.30%,81.70%,84.10%,84.10%
272,Salvatore Ferragamo,Ankle Boots,$203.49,82,12.20%,22.00%,30.50%,62.20%,70.70%,70.70%,70.70%
273,Coach Factory,Leather Wallet,$39.14,82,63.40%,75.60%,87.80%,92.70%,92.70%,92.70%,92.70%
274,Balenciaga,Sunglasses,$196.46,82,12.20%,23.20%,42.70%,81.70%,85.40%,85.40%,85.40%
275,Chloé,Sneakers,$263.81,81,7.40%,19.80%,32.10%,66.70%,77.80%,77.80%,77.80%
276,Acne Studios,Short Sleeve T-Shirt,$70.53,81,25.90%,45.70%,63.00%,82.70%,86.40%,86.40%,86.40%
277,MARNI,Sleeveless Blouse,$133.43,81,6.20%,9.90%,28.40%,59.30%,76.50%,76.50%,76.50%
278,Kate Spade New York,Sandals,$47.30,81,22.20%,32.10%,66.70%,84.00%,86.40%,86.40%,86.40%
279,Christian Louboutin,Flats,$283.47,81,28.40%,44.40%,53.10%,76.50%,84.00%,84.00%,84.00%
280,Michael Kors Collection,Casual Dress,$295.09,81,6.20%,6.20%,13.60%,49.40%,63.00%,67.90%,67.90%
281,Roger Vivier,Flats,$209.78,81,14.80%,24.70%,32.10%,60.50%,75.30%,77.80%,79.00%
282,Salvatore Ferragamo,Leather Wallet,$123.78,80,8.80%,22.50%,45.00%,75.00%,85.00%,85.00%,85.00%
283,Giuseppe Zanotti,Heels,$160.44,80,8.80%,13.80%,23.80%,68.80%,88.80%,95.00%,95.00%
284,ESSENTIALS Fear of God,Sweatshirt,$66.58,80,71.30%,78.80%,87.50%,92.50%,93.80%,93.80%,93.80%
285,Burberry Brit,Trenchcoat,$329.06,80,43.80%,56.30%,73.80%,91.30%,93.80%,93.80%,93.80%
286,Prada,Mule/Clog,$216.38,80,28.80%,46.30%,60.00%,88.80%,93.80%,93.80%,93.80%
287,Burberry Brit,Short Sleeve Polo,$78.15,80,42.50%,62.50%,83.80%,92.50%,93.80%,93.80%,93.80%
288,McQ Alexander McQueen,Cocktail Dress,$173.46,79,26.60%,40.50%,57.00%,75.90%,87.30%,87.30%,87.30%
289,Gucci,Boots,$387.66,79,16.50%,34.20%,45.60%,78.50%,83.50%,83.50%,83.50%
290,Burberry Brit,Coat,$299.96,79,48.10%,54.40%,68.40%,88.60%,88.60%,88.60%,88.60%
291,Kate Spade New York,Sunglasses,$62.47,79,43.00%,64.60%,87.30%,92.40%,93.70%,93.70%,93.70%
292,Kate Spade New York,Leather Wristlet,$35.26,79,36.70%,58.20%,83.50%,87.30%,88.60%,88.60%,88.60%
293,Miu Miu,Leather Wallet,$169.69,79,12.70%,20.30%,41.80%,74.70%,82.30%,82.30%,82.30%
294,Vera Wang,Cocktail Dress,$130.80,79,24.10%,36.70%,53.20%,82.30%,89.90%,93.70%,94.90%
295,Chloé,Leather Wallet,$172.13,79,3.80%,12.70%,30.40%,64.60%,79.70%,79.70%,79.70%
296,FURLA,Leather Satchel,$123.96,78,14.10%,30.80%,48.70%,85.90%,93.60%,93.60%,93.60%
297,Miu Miu,Sunglasses,$185.36,78,15.40%,42.30%,62.80%,88.50%,93.60%,93.60%,93.60%
298,Brunello Cucinelli,Casual Pants,$207.41,78,6.40%,12.80%,21.80%,57.70%,75.60%,75.60%,75.60%
299,Burberry,Jeans,$123.14,78,19.20%,33.30%,55.10%,80.80%,88.50%,88.50%,88.50%
300,Manolo Blahnik,Mule/Clog,$196.39,78,30.80%,48.70%,65.40%,84.60%,92.30%,92.30%,92.30%
301,Burberry,Wool Pants,$158.17,78,20.50%,34.60%,57.70%,73.10%,84.60%,85.90%,85.90%
302,Burberry Brit,Long Sleeve Button-Down Shirt,$105.88,78,44.90%,61.50%,76.90%,87.20%,88.50%,88.50%,88.50%
303,Prada,Dress Pants,$177.39,78,12.80%,21.80%,38.50%,66.70%,75.60%,75.60%,75.60%
304,Stella McCartney,Casual Pants,$120.89,78,12.80%,16.70%,25.60%,57.70%,74.40%,74.40%,75.60%
305,Yves Saint Laurent,Scarf,$132.61,78,37.20%,47.40%,57.70%,89.70%,91.00%,91.00%,91.00%
306,Christian Dior,Blazer,$244.75,77,14.30%,22.10%,35.10%,75.30%,84.40%,85.70%,85.70%
307,ETRO,Casual Dress,$261.75,77,15.60%,26.00%,39.00%,85.70%,96.10%,97.40%,97.40%
308,Burberry Brit,Short Sleeve T-Shirt,$72.96,77,26.00%,37.70%,59.70%,83.10%,92.20%,92.20%,92.20%
309,Salvatore Ferragamo,Leather Crossbody Bag,$237.22,77,35.10%,50.60%,58.40%,85.70%,92.20%,92.20%,92.20%
310,Dior,Sunglasses,$192.71,77,35.10%,44.20%,55.80%,74.00%,76.60%,76.60%,76.60%
311,Burberry,Wallet,$168.97,77,28.60%,46.80%,62.30%,83.10%,87.00%,87.00%,87.00%
312,Prada Linea Rossa,Ankle Boots,$184.70,76,21.10%,25.00%,39.50%,71.10%,76.30%,76.30%,76.30%
313,Burberry,Wedges,$150.28,76,15.80%,28.90%,42.10%,73.70%,82.90%,82.90%,82.90%
314,Max Mara,Wool Skirt,$116.29,76,5.30%,11.80%,22.40%,56.60%,78.90%,89.50%,90.80%
315,Louis Vuitton,Heels,$293.51,76,23.70%,28.90%,42.10%,84.20%,88.20%,88.20%,88.20%
316,Miu Miu,Sandals,$189.69,76,13.20%,22.40%,32.90%,63.20%,78.90%,78.90%,78.90%
317,B Brian Atwood,Heels,$85.02,76,2.60%,6.60%,18.40%,47.40%,78.90%,92.10%,92.10%
318,MARNI,Sandals,$174.07,75,10.70%,13.30%,30.70%,62.70%,73.30%,73.30%,73.30%
319,Michael Kors,Wool Pants,$95.11,75,6.70%,16.00%,30.70%,61.30%,77.30%,80.00%,80.00%
320,Valentino,Cocktail Dress,$434.85,75,6.70%,13.30%,28.00%,74.70%,89.30%,89.30%,89.30%
321,Yves Saint Laurent Rive Gauche,Heels,$161.32,75,12.00%,22.70%,33.30%,66.70%,84.00%,84.00%,84.00%
322,Moncler,Snow Jacket,$385.04,75,33.30%,42.70%,52.00%,70.70%,77.30%,77.30%,77.30%
323,Totême,Jeans,$164.52,74,45.90%,59.50%,66.20%,78.40%,85.10%,85.10%,85.10%
324,Bottega Veneta,Sunglasses,$214.39,74,10.80%,17.60%,36.50%,77.00%,79.70%,79.70%,79.70%
325,Burberry,Casual Pants,$125.97,74,10.80%,25.70%,43.20%,73.00%,82.40%,82.40%,82.40%
326,Marc Jacobs,Cocktail Dress,$148.43,74,14.90%,27.00%,44.60%,64.90%,82.40%,82.40%,82.40%
327,Christian Louboutin,Sandals,$348.23,74,28.40%,37.80%,51.40%,79.70%,83.80%,83.80%,83.80%
328,Prada,Boots,$291.98,74,28.40%,41.90%,52.70%,78.40%,81.10%,81.10%,81.10%
329,Stella McCartney,Sunglasses,$101.55,73,42.50%,57.50%,72.60%,86.30%,89.00%,89.00%,89.00%
330,Gucci,Silk Scarf,$209.84,73,43.80%,52.10%,71.20%,89.00%,90.40%,90.40%,90.40%
331,Chanel,Ankle Boots,$480.48,73,15.10%,24.70%,38.40%,68.50%,80.80%,80.80%,80.80%
332,Prada,Wallet,$190.78,73,16.40%,27.40%,46.60%,78.10%,94.50%,94.50%,94.50%
